,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
84,Hot N*gga,Bobby Shmurda,19gEmPjfqSZT0ulDRfjl0m,2014-07-25,0.794,0.51,-7.314,0.42,0.0505,0.0562,0.18,167.879,-39.85555039199444
85,Go Hard or Go Home,Various Artists,2QJnTfMpNG05KFf2E3gVIJ,2015-03-17,0.651,0.741,-5.067,0.0408,0.00293,0.217,0.386,168.02,-40.02668283185099
86,The Champion,The Score,5AU57UY8wDFicbZw8E6mw2,2020-08-28,0.407,0.653,-5.901,0.035,0.000935,0.402,0.355,85.985,-40.05846341012075
87,Banana Clip,Miguel,6xagjcywpcyNFghafZPQJv,2017-12-01,0.638,0.708,-5.342,0.0754,0.0973,0.177,0.606,84.978,-41.07767864890838
88,Savage Remix (feat. Beyoncé),Megan Thee Stallion,5v4GgrXPMghOnBBLmveLac,2020-04-29,0.822,0.743,-4.772,0.28,0.016,0.127,0.636,84.459,-41.619954411130024
89,Astronaut In The Ocean - Alok Remix,Masked Wolf,1yX6sh2TkrT5hsXodo7aS6,2021-04-30,0.53,0.82,-4.936,0.0438,0.154,0.14,0.355,171.933,-43.94188160972789
90,Mr. Right Now (feat. Drake),21 Savage,4Q34FP1AT7GEl9oLgNtiWj,2020-10-02,0.647,0.667,-5.563,0.304,0.231,0.133,0.704,172.08,-44.06645753736148
91,Bad Boy (with Young Thug),Juice WRLD,43CIWpJaJHRcI4mUSjqgc2,2021-01-15,0.697,0.674,-6.326,0.0533,0.00215,0.138,0.198,81.535,-44.50016491270444
92,Final Warning,NLE Choppa,3LVcKphzONOdQ2EATazlZq,2021-04-30,0.847,0.912,-3.129,0.257,0.0781,0.142,0.88,81.486,-44.693054062174525
93,B.I.T.C.H.,Megan Thee Stallion,06scTb0zbkxYNgpAB3J9fN,2020-01-24,0.742,0.731,-4.362,0.306,0.0851,0.131,0.547,174.019,-46.051251530313216
94,Majesty,Apashe,08E0TIudwefGjA27W4zrnf,2018-02-23,0.559,0.805,-3.54,0.0703,0.0351,0.122,0.286,80.087,-46.05742339923425
95,21,Polo G,3JKgcAa7r07ocVWcV8bS0H,2020-05-15,0.783,0.479,-10.646,0.541,0.149,0.101,0.533,176.027,-48.15048100483659
96,Make It Better (feat. Smokey Robinson),Anderson .Paak,4SBVWkRIMJ6WBCYPvr5Bwr,2019-04-12,0.676,0.56,-6.024,0.0643,0.0112,0.137,0.551,178.555,-50.5306499283368
97,Best Part (feat. Daniel Caesar),H.E.R.,4OBZT9EnhYIV17t4pGw7ig,2017-10-20,0.473,0.371,-10.219,0.0405,0.795,0.109,0.413,75.208,-50.941534093216774
98,Ransom,Lil Tecca,1lOe9qE0vR9zwWQAOk6CoO,2019-08-30,0.745,0.642,-6.257,0.287,0.0204,0.0658,0.226,179.974,-51.947860744309565
99,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6Gg1gjgKi2AK4e0qzsR7sd,2019-10-04,0.474,0.631,-5.884,0.343,0.0687,0.132,0.425,180.051,-52.0295053976633
100,Bottoms Up (feat. Nicki Minaj),Trey Songz,4AYX69oFP3UOS1CFmV9UfO,2010-09-14,0.844,0.601,-5.283,0.157,0.0205,0.385,0.331,73.989,-52.06436308273946
101,679 (feat. Remy Boyz),Fetty Wap,5NQbUaeTEOGdD6hHcre0dZ,2015-06-29,0.618,0.717,-5.738,0.318,0.00256,0.625,0.603,190.05,-62.03045654046619
102,Survival Tactics,Joey Bada$$,4pNT8XTKWb2vhcsqwzdXCT,2012-06-12,0.53,0.843,-2.271,0.39,0.428,0.164,0.919,199.946,-72.05686184614561
103,Evacuate The Dancefloor - Radio Edit,Cascada,360ZhWvMnyXKYFG9Mqsm89,2009,0.76,0.696,-5.811,0.0491,0.0195,0.278,0.903,127.029,-0.054123901067455016
104,212,Azealia Banks,16EMONl2vH3rt9f4ehTG8g,2014-11-07,0.846,0.772,-5.735,0.259,0.0123,0.0769,0.622,125.998,-0.5003254696233883
105,Your Love - Cahill Radio Remix,Nicole Scherzinger,5iJ96bBKJ3MwKadzYP6R1V,2014-07-13,0.678,0.917,-5.748,0.186,0.00493,0.392,0.405,126.016,-0.5150558436251402
106,Dance Again,Jennifer Lopez,4d2hD63oUGU3s7L66JD0BE,2012-07-20,0.792,0.856,-5.236,0.067,0.0159,0.0981,0.714,127.988,-0.8489648462858057
107,Live It Up,Jennifer Lopez,2FHdoPa5aWaAmjuf362KJ0,2013-01-01,0.692,0.728,-5.13,0.171,0.0131,0.329,0.642,127.995,-0.9341714941538726
108,I Love It (feat. Charli XCX) - Cobra Starship Remix; Radio Edit,Icona Pop,3gZizPPTNqvXnaBonCTs6w,2012-11-19,0.773,0.97,-4.915,0.196,0.0926,0.161,0.34,127.996,-1.14270089345212
109,Hung Up,Madonna,3850dYVgOFIXJh5U4BFEWH,2005-11-11,0.649,0.647,-7.695,0.0452,0.0039,0.0686,0.405,125.02,-1.2317316722222569
110,Domino,Jessie J,6MAdEUilV2p9RQUqE5bMAK,2011-01-01,0.757,0.547,-4.573,0.0355,0.0115,0.0445,0.793,126.977,-1.240120750495624
111,Bang Bang,will.i.am,3owESnQzGKXJhdZQDdXppK,2013-01-01,0.805,0.657,-7.643,0.108,0.0249,0.0391,0.716,124.945,-1.2730661853098324
112,Who's That Chick? (feat. Rihanna),David Guetta,3FrX3mx8qq7SZX2NYbzDoj,2010-12-03,0.675,0.601,-4.733,0.116,0.00372,0.0458,0.931,127.938,-1.284479087144506
113,Crazy Kids,Kesha,1sNctqVr9zdS7i1RZNjIgY,2012-11-30,0.742,0.706,-4.6,0.0433,0.0141,0.133,0.478,128.03,-1.4149013012544613
114,Super Bass,Nicki Minaj,3hlksXnvbKogFdPbpO9vel,2010-11-22,0.723,0.86,-4.357,0.203,0.271,0.598,0.667,126.979,-1.4747583814991492
115,Hard out Here,Lily Allen,6TK4Gszcg4IqyW0Ewtejcd,2014-05-05,0.823,0.822,-5.323,0.0334,0.113,0.0688,0.938,125.026,-1.518433520822398
116,Like A G6,Far East Movement,4DvhkX2ic4zWkQeWMwQ2qf,2010-01-01,0.435,0.837,-8.126,0.449,0.00676,0.117,0.778,124.913,-1.56577997256238
117,Liquorice,Azealia Banks,3LmlegS3av5opwiIMVDbgI,2012-05-28,0.679,0.788,-9.361,0.0509,6.07e-05,0.0783,0.319,126.998,-1.6074741718200376
118,Girlfriend,Icona Pop,6JqRzMVuX8sO5huQpG1vbi,2013-08-27,0.567,0.81,-4.907,0.0409,0.00187,0.333,0.604,128.939,-1.7016178523435719
119,Wild - UK Version,Jessie J,4YCCwOhHTQcrmWi5ofmUxN,2013-01-01,0.798,0.778,-8.633,0.29,0.00684,0.0883,0.403,129.028,-1.74395237844982
120,Sissy That Walk,RuPaul,5PHPENfE3RVmHGAA2A7Hfx,2014-02-24,0.826,0.614,-4.22,0.0561,0.0191,0.0865,0.591,126.046,-1.75769320280566
121,Dem Beats,Todrick Hall,0UR2uij5uaV4KEMmefyGzR,2018-03-27,0.755,0.861,-6.614,0.181,0.0459,0.234,0.437,129.957,-1.9472126941905032
122,I Wanna Go,Britney Spears,5cCAZS9VhLGEDV4NCfieeg,2011-03-28,0.696,0.546,-6.55,0.0414,0.00379,0.332,0.787,130.002,-2.0045039377077183
123,Scream & Shout,will.i.am,2iJuuzV8P9Yz0VSurttIV5,2013-01-01,0.772,0.685,-6.849,0.0696,0.019,0.131,0.501,130.033,-2.0123311635348076
124,On The Floor - Radio Edit,Jennifer Lopez,0Oe49j06Bjrxs8PltuVeaW,2011-01-01,0.758,0.686,-6.346,0.0792,0.0848,0.142,0.444,130.007,-2.0155178803649445
125,Disturbia,Rihanna,2VOomzT6VavJOGBeySqaMc,2008-06-02,0.707,0.813,-4.515,0.0571,0.0863,0.168,0.722,124.921,-2.1085306456270474
126,Slow Down,Selena Gomez,2OsEJFTfzfjG4oC92cuP2c,2013-01-01,0.722,0.821,-3.856,0.165,0.073,0.631,0.721,127.944,-2.111569502164554
127,Don't Stop the Party (feat. TJR),Pitbull,3Tu7uWBecS6GsLsL8UONKn,2012,0.722,0.958,-3.617,0.0912,0.00726,0.375,0.952,127.008,-2.2152212150332318
128,Right Now,Rihanna,28OX5qT45GZBuu8CNKBOj6,2012-12-11,0.668,0.64,-5.208,0.0888,0.049,0.0675,0.259,130.004,-2.3874864830435185
129,Va Va Voom,Nicki Minaj,2jATUzETZL49e6SywauZKE,2012-01-01,0.648,0.836,-3.394,0.0316,0.0625,0.202,0.705,126.889,-2.4055935061013685
130,A Little Party Never Killed Nobody (All We Got),Various Artists,1mz9ZrRYu3EPVg9ZHFtjjf,2013-01-01,0.763,0.653,-5.05,0.149,0.00876,0.0854,0.477,130.025,-2.4688195541999214
131,Spice Up Your Life,Spice Girls,5qGwqO0lkbBXw4xNfzT7SF,1997-01-01,0.556,0.993,-5.067,0.0464,0.0105,0.403,0.702,124.016,-2.506623798584864
132,Born This Way,Lady Gaga,6r2BECwMgEoRb5yLfp0Hca,2011-01-01,0.587,0.828,-5.108,0.161,0.00327,0.331,0.494,123.907,-2.562699025472216
133,Cannibal,Kesha,3JTMWdhcJPiegDSe7SvZS3,2010-11-19,0.71,0.68,-4.676,0.106,0.0078,0.0493,0.571,129.971,-2.6259486009596755
134,Pound The Alarm,Nicki Minaj,0LohatbcUXRauoeMlR1jnS,2011-01-01,0.728,0.858,-3.686,0.0609,0.0403,0.0241,0.591,125.054,-2.6873068774922926
135,Commander,Kelly Rowland,31zeLcKH2x3UCMHT75Gk5C,2011-01-01,0.395,0.876,-3.859,0.138,0.0173,0.362,0.567,124.638,-2.809996938686488
136,So What,P!nk,0JiY190vktuhSGN6aqJdrt,2008-10-24,0.534,0.87,-3.078,0.0425,0.000329,0.241,0.462,126.019,-2.8618579888859785
137,Timber (feat. Ke$ha),Pitbull,3cHyrEgdyYRjgJKSOiOtcS,2012,0.581,0.963,-4.087,0.0981,0.0295,0.139,0.788,129.992,-3.0290460110057307
138,BURNITUP! (feat. Missy Elliott),Janet Jackson,0CgYN1d9Dku244f1mWmS0Z,2015-10-02,0.828,0.708,-6.604,0.175,0.0463,0.314,0.83,122.996,-3.053692212390965
139,Don't Stop The Music,Rihanna,0ByMNEPAPpOR5H69DVrTNy,2008-06-02,0.835,0.669,-5.582,0.0643,0.0336,0.0535,0.542,122.668,-3.5321413586516055
140,Y.A.L.A.,M.I.A.,12tA6w3I4PLAHunawPPfTW,2013-01-01,0.79,0.916,-2.742,0.104,0.121,0.0513,0.734,124.986,-3.541371110226378
141,All Night,Icona Pop,15iosIuxC3C53BgsM5Uggs,2013-08-27,0.6,0.905,-3.41,0.0357,0.00274,0.831,0.636,124.032,-3.5769505574346434
142,Turn Me On (feat. Nicki Minaj),David Guetta,6JOlNkT0QdHeZB0wPbI9IR,2011-08-26,0.705,0.794,-2.266,0.0593,0.0488,0.575,0.412,127.961,-3.6389465731782202
143,Supermodel (You Better Work),RuPaul,1AAwAM9IjTlvi8x10kc2I1,1993-06-08,0.792,0.562,-11.379,0.0929,0.0152,0.428,0.592,126.222,-3.6798976686248706
144,Waiting for Tonight - Hex's Momentous Radio Mix,Jennifer Lopez,5WD55ZJWhumwIDGau2Q9lM,2002-02-05,0.633,0.968,-4.81,0.124,0.0924,0.625,0.207,131.386,-3.830228538568414
145,Girl Gone Wild,Madonna,6SONqPbbSCVP5rgi0CdRxu,2012-01-01,0.696,0.598,-5.883,0.0712,0.0331,0.319,0.6,131.957,-4.015000350229382
146,Gimmie Dat,Ciara,1K27fWy3zsRgcbAICUh9tp,2010-12-10,0.851,0.664,-7.623,0.0649,0.0052,0.0716,0.355,131.98,-4.032659312610359
