,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
323,YKWIM?,Yot Club,2vWBUC9djv6BtiGlmKiQaH,2019-05-31,0.372,0.537,-7.623,0.0305,0.937,0.287,0.228,123.735,-16.230387770311953
324,Mine,Slayyyter,18uOcUO5mNEYHHigeXPgQM,2019-05-03,0.69,0.734,-6.377,0.0316,0.0933,0.137,0.459,124.033,-16.556042317211347
325,Pain,PinkPantheress,59IqCFx50pTdpyWa8mL7fh,2021-02-05,0.828,0.616,-8.498,0.14,0.227,0.0618,0.812,125.594,-18.097968684268828
326,Out Like a Light,The Honeysticks,7yR5ZDif2glYMnFP73uRMm,2017-06-16,0.522,0.458,-7.785,0.0275,0.17,0.072,0.359,125.973,-18.45425135129379
327,space girl,Frances Forever,7FjIYiD53wxlQmzTT6Wdpf,2020-03-27,0.67,0.399,-9.137,0.0306,0.32,0.38,0.211,125.981,-18.523755253467858
328,Primadonna,MARINA,5tFMuAw6X2R4NLx97g7n9q,2012-04-30,0.66,0.689,-2.671,0.0337,0.0884,0.0922,0.427,127.98,-21.01661714620388
329,When You Sleep,my bloody valentine,3HfEgAaf0koxBpBB8NvGda,1991-11-04,0.4,0.82,-12.281,0.0466,0.000295,0.236,0.135,128.894,-21.868392988800032
330,A Pearl,Mitski,3udrjWCXCBotzU2uQ05Zmx,2018-08-17,0.225,0.639,-4.034,0.0299,0.0488,0.112,0.226,83.632,-22.17318506165512
331,Seventeen,MARINA,5UmLoBLWWRnqGhPfVWRgGd,2010-02-15,0.771,0.816,-5.755,0.031,0.328,0.136,0.798,130.017,-22.570941053197505
332,Count Contessa,Azealia Banks,5qc9oEjMRZvdECu3g5vU8P,2019-12-14,0.595,0.957,-5.978,0.455,0.215,0.493,0.453,130.167,-22.710544347385117
333,Andromeda,Weyes Blood,51EMSRpNm9Rg5rGViVCczv,2019-04-05,0.467,0.461,-7.94,0.0274,0.368,0.358,0.188,131.325,-23.80932612396631
334,Time Machine,WILLOW,1jVjOcs7QeQZJXScbqvofI,2019-07-19,0.606,0.532,-6.076,0.0416,0.44,0.132,0.405,81.332,-24.236178534740862
335,Two Slow Dancers,Mitski,18Zr5WWu7X9LVool3pJRum,2018-08-17,0.225,0.106,-13.166,0.0328,0.797,0.108,0.0535,81.392,-24.757460601140703
336,Cloud 9,Beach Bunny,6vFsBXYczYsP0H3lgunZOm,2020-02-14,0.637,0.929,-3.593,0.0491,0.00167,0.344,0.902,80.974,-24.86822964063405
337,Mrs Magic,Strawberry Guy,45BBlVHECwB0uNt7BsJ97r,2019-07-22,0.477,0.629,-7.408,0.0315,0.159,0.374,0.357,132.535,-25.01667948780769
338,Last Words of a Shooting Star,Mitski,0zCm4JTVBuIWSSL8rMUChT,2014-11-11,0.393,0.167,-19.024,0.0361,0.473,0.11,0.0961,129.955,-25.081998205300792
339,Memories and Dreams,Steve Gabry,4dFVBDzzGnqvqYAw3g1mYo,2016-08-16,0.475,0.556,-11.012,0.0306,0.313,0.244,0.812,80.069,-25.676992293759742
340,Miss Camaraderie,Azealia Banks,5mEkLflNw2BilpJvJ0W7UC,2014-11-07,0.565,0.878,-7.071,0.0955,0.00071,0.314,0.206,134.989,-27.478226931325885
341,Chateau (Feel Alright),Djo,41mclLjggl2nmbYpRisKrh,2019-09-13,0.641,0.365,-11.763,0.027,0.43,0.297,0.348,134.881,-27.665822158614596
342,Telephones,Vacations,3xbDgbZr6lIoggCsoi3rZ3,2018-03-25,0.526,0.447,-9.268,0.0274,0.00283,0.109,0.183,74.995,-30.57534772400544
343,Cyber Stockholm Syndrome,Rina Sawayama,7I9bSsqqIA0cV1nL0igGLm,2017-10-27,0.527,0.672,-5.642,0.0509,0.41,0.341,0.259,139.007,-31.545724293543017
344,Susie Save Your Love,Allie X,32tUYhAygMdx9XxFxxj3It,2020-02-21,0.646,0.595,-6.709,0.0512,0.00457,0.0527,0.772,73.973,-31.564097645071875
345,Burning Pile,Mother Mother,0zMAvsQmaQ4DGsmXtKixpn,2008-09-23,0.516,0.755,-3.724,0.0383,0.0633,0.107,0.165,140.099,-32.802823909693075
346,Saccharine,Jazmin Bean,0xLCawHAfE3tqlPWRvhT49,2020-11-11,0.425,0.785,-4.816,0.0372,0.0486,0.377,0.319,143.903,-36.48785155185761
347,Only in My Dreams,The Marías,190IqlryWu91WBKeDgZqZz,2017-11-03,0.518,0.496,-11.607,0.0292,0.41,0.0999,0.281,143.921,-36.61561045012188
348,Twin Size Mattress,The Front Bottoms,0Kd1R41kTx9Uzk30yv5PP7,2013-05-21,0.325,0.867,-5.53,0.0809,0.00548,0.103,0.336,144.866,-37.40473575107049
